delete,ln_pop_den,pct_65_over,pct_age_18_29,pct_bach,pct_black,pct_fb,pct_hisp,pct_uninsured,totalvotes,id,Intercept,X,Y,se0,b0,sepct_black,bpct_black,sepct_hisp,bpct_hisp,sepct_65_over,bpct_65_over,sepct_age_18_29,bpct_age_18_29,sepct_fb,bpct_fb,sepct_uninsured,bpct_uninsured,sepct_bach,bpct_bach,seln_pop_den,bln_pop_den
2990,1.164509905,-0.132925462,1.235581468,0.424314859,-0.287288421,-0.550735684,-0.580097895,-0.376132866,-0.087253988,54011,1,-0.082241084,0.038419171,0.147750022,-0.110999227,0.13022164,0.434938194,0.321572939,-0.840997344,0.06168945,-0.013972356,0.04476882,-0.099657261,0.212312084,0.726855583,0.024567323,-0.002062432,0.062219697,-0.035066627,0.085552538,0.201989699
2991,-0.298881668,1.011844854,-1.01552449,-1.025027114,-0.625008568,-0.692188367,-0.544069683,-0.777399299,-0.317080325,54013,1,-0.081116982,0.038845489,0.14160539,-0.110129237,0.119254506,0.448472366,0.308559507,-0.888235555,0.063696309,-0.015489954,0.0418657,-0.117118001,0.195908535,0.722639527,0.026270846,-0.007353191,0.061565482,-0.000232308,0.079978486,0.162524449
2992,-0.310673221,0.277463897,-0.622159016,-1.340101456,-0.625008568,-0.83364105,-0.666565603,-1.218792376,-0.31444717,54015,1,-0.081076662,0.038462134,0.136694053,-0.144555181,0.113286926,0.374658625,0.306581831,-0.880936167,0.061674884,-0.028125242,0.039858588,-0.10350446,0.194672063,0.698357592,0.026088298,-0.006363058,0.060293518,0.006478322,0.077761635,0.129469154
2993,-0.282115164,0.385461096,0.272906376,-0.510405689,-0.514732601,-0.692188367,-0.637743033,-0.476449474,-0.316211518,54017,1,-0.080708656,0.03926872,0.141297982,-0.102697834,0.117934032,0.485279496,0.301332711,-0.881173983,0.065505532,-0.001223388,0.043185798,-0.130846148,0.185897719,0.708223795,0.027141037,-0.010069376,0.062086308,0.013734264,0.080349621,0.190661513
2994,0.233114281,0.342262216,-0.464048694,-0.751962684,-0.266611677,-0.709869953,-0.594509179,-0.496512796,-0.224244894,54019,1,-0.081081583,0.038028315,0.131311694,-0.176673881,0.106626694,0.303430489,0.303304306,-0.886659001,0.059489075,-0.041614737,0.038378394,-0.087906074,0.193442561,0.689807354,0.02588622,-0.00506141,0.059180945,0.011812749,0.07634921,0.097078794
2995,-0.348118557,-0.478516501,1.898191315,-0.520908167,0.202061179,-0.373919831,-0.385545551,0.005070246,-0.319145414,54021,1,-0.08085656,0.038923426,0.139281908,-0.119596937,0.115921398,0.437340125,0.303834338,-0.87913842,0.063843907,-0.013585001,0.041435565,-0.120107076,0.189698631,0.703182283,0.026670644,-0.008517268,0.0611576,0.010199765,0.078815322,0.160829664
2996,-0.338943223,1.098242614,-0.319202806,-0.856987465,-0.514732601,-0.780596294,-0.630537391,-0.376132866,-0.300118528,54023,1,-0.079196176,0.039104731,0.118434484,-0.258821967,0.092459173,0.265948281,0.262997656,-0.692099931,0.061128969,0.004616763,0.039389889,-0.13351756,0.138830489,0.461509577,0.029062324,-0.015005026,0.056566247,0.077104213,0.073233917,0.20318885
2997,-0.137277536,0.817449895,-0.550944347,-0.216336303,-0.432025627,-0.621462026,-0.53686404,-0.897779229,-0.231008227,54025,1,-0.080453094,0.037947065,0.121012328,-0.199461114,0.093634919,0.242339196,0.284790519,-0.873596054,0.057989179,-0.048441645,0.035339388,-0.089850884,0.174379556,0.671539097,0.026678609,-0.007073535,0.056601622,0.031731071,0.07163187,0.063091109
2998,-0.106663582,0.644654375,-0.53062785,-1.004022158,-0.549193841,-0.656825197,-0.572892252,-0.135373006,-0.269529818,54027,1,-0.07861407,0.039316954,0.113112317,-0.323758514,0.089190703,0.233096204,0.247799419,-0.608109807,0.060773205,0.022689834,0.040676037,-0.143920494,0.123524819,0.346632811,0.030052205,-0.017719543,0.056023563,0.0971682,0.074295046,0.27245309
2999,1.175194686,0.817449895,-0.635503879,-0.478898255,-0.48716361,-0.656825197,-0.56568661,-0.636956048,-0.244708654,54029,1,-0.080574169,0.040518822,0.152887122,-0.007743218,0.131091246,0.689438104,0.294733776,-0.946896424,0.07187483,0.044382794,0.051592282,-0.153043153,0.179104222,0.811535204,0.028667702,-0.014251404,0.067389615,0.010971514,0.090399672,0.315039956
